C:\WinT,A100\DIL805.PR,O\Data\Def,ormation,\SalimAlha,bsi\Ti64,\Basic file\,058_Compress,ion_Salim_Ti6,4_850_-2,.0_CoolPo,werOff_010_,.asc
No.,Time,Tem.1,DL,Force,Strain,kf (Def.),Phi  (D),Phi* (D),Tem.2,Tem.3,Poti,HF
,s,∞C,µm,N,%,N/mm≤,,1/s,∞C,∞C,mm,%
226,118.12075,560.5,54.53,2.3,-0.55,0.1171,0,0,-20,-20,24.7692,27.97
227,118.675049,563.4,54.81,3.8,-0.55,0.1964,0,0,-20,-20,24.7692,28.05
228,119.227341,566.3,55.22,3,-0.55,0.1532,0,0,-20,-20,24.7692,27.81
229,119.781891,568.9,55.56,2.6,-0.56,0.1316,0,0,-20,-20,24.7692,28.1
230,120.334305,571.6,55.9,3,-0.56,0.1532,0,0,-20,-20,24.7692,28.02
231,120.888542,574.3,56.24,2.7,-0.56,0.1388,0,0,-20,-20,24.7692,28.31
232,121.441154,577.1,56.61,2.9,-0.57,0.146,0,0,-20,-20,24.7692,28.24
233,121.995422,579.9,56.9,2.3,-0.57,0.1172,0,0,-20,-20,24.7692,28.23
234,122.547874,582.8,57.3,3,-0.57,0.1532,0,0,-20,-20,24.7692,28.44
235,123.100418,585.4,57.6,3.3,-0.58,0.1677,0,0,-20,-20,24.7692,28.55
236,123.65477,588.1,57.98,2.6,-0.58,0.1316,0,0,-20,-20,24.7692,28.74
237,124.209007,590.9,58.38,2.7,-0.58,0.1388,0,0,-20,-20,24.7692,28.64
238,124.761482,593.8,58.7,2.7,-0.59,0.1388,0,0,-20,-20,24.7692,28.61
239,125.313766,596.5,58.99,3.3,-0.59,0.1677,0,0,-20,-20,24.7692,28.66
240,125.86808,599.3,59.38,3.1,-0.59,0.1605,0,0,-20,-20,24.7692,28.86
241,126.420448,602.1,59.77,3.6,-0.6,0.1821,0,0,-20,-20,24.7692,28.73
242,126.974869,604.8,60.07,3.6,-0.6,0.1821,0,0,-20,-20,24.7692,28.98
243,127.527252,607.7,60.4,2.3,-0.6,0.1172,0,0,-20,-20,24.7692,28.86
244,128.081497,610.2,60.82,2.7,-0.61,0.1389,0,0,-20,-20,24.7692,29.23
245,128.633835,613.1,61.22,2.9,-0.61,0.1461,0,0,-20,-20,24.7692,29
246,129.188293,615.8,61.46,2.6,-0.61,0.1316,0,0,-20,-20,24.7692,29.26
247,129.74057,618.8,61.85,3,-0.62,0.1533,0,0,-20,-20,24.7692,29.12
248,130.295105,621.4,62.18,3,-0.62,0.1533,0,0,-20,-20,24.7692,29.32
249,130.84758,624.1,62.55,2.3,-0.63,0.1172,0,0,-20,-20,24.7692,29.45
250,131.401886,627,62.93,2.9,-0.63,0.1461,0,0,-20,-20,24.7692,29.48
251,131.954086,629.8,63.23,2.7,-0.63,0.1389,0,0,-20,-20,24.7692,29.52
252,132.508331,632.6,63.56,2.6,-0.64,0.1317,0,0,-20,-20,24.7692,29.48
253,133.060852,635.2,64.07,2.6,-0.64,0.1317,0,0,-20,-20,24.7692,29.77
254,133.615204,638,64.43,2.7,-0.64,0.1389,0,0,-20,-20,24.7692,29.75
255,134.167587,640.9,64.72,2,-0.65,0.1028,0,0,-20,-20,24.7692,29.78
256,134.721954,643.6,65.04,2.9,-0.65,0.1461,0,0,-20,-20,24.7692,29.71
257,135.274399,646.2,65.44,3.1,-0.65,0.1606,0,0,-20,-20,24.7692,30.09
258,135.828934,649.1,65.8,3.6,-0.66,0.1822,0,0,-20,-20,24.7692,30.1
259,136.381485,652,66.1,2.6,-0.66,0.1317,0,0,-20,-20,24.7692,29.77
260,136.934067,654.6,66.49,2.3,-0.66,0.1173,0,0,-20,-20,24.7692,30.16
261,137.488403,657.4,66.84,3.3,-0.67,0.1678,0,0,-20,-20,24.7692,30.24
262,138.040741,660.1,67.21,2.7,-0.67,0.1389,0,0,-20,-20,24.7692,30.19
263,138.594971,663,67.53,3,-0.68,0.1534,0,0,-20,-20,24.7692,30.34
264,139.1474,665.8,67.95,3,-0.68,0.1534,0,0,-20,-20,24.7692,30.22
265,139.701843,668.4,68.28,2.3,-0.68,0.1173,0,0,-20,-20,24.7692,30.55
266,140.25415,671.2,68.62,2.7,-0.69,0.139,0,0,-20,-20,24.7692,30.64
267,140.808578,674,68.97,2.1,-0.69,0.1101,0,0,-20,-20,24.7692,30.46
268,141.36116,676.7,69.35,2.1,-0.69,0.1101,0,0,-20,-20,24.7692,30.6
269,141.915421,679.5,69.69,3,-0.7,0.1534,0,0,-20,-20,24.7692,30.71
270,142.467682,682.5,70.01,3.1,-0.7,0.1606,0,0,-20,-20,24.7692,30.58
271,143.021912,685,70.39,2.9,-0.7,0.1462,0,0,-20,-20,24.7692,30.9
272,143.574402,688,70.81,3,-0.71,0.1534,0,0,-20,-20,24.7692,30.74
273,144.128967,690.8,71.17,3,-0.71,0.1534,0,0,-20,-20,24.7692,30.68
274,144.681381,693.3,71.63,2.3,-0.72,0.1173,0,0,-20,-20,24.7692,31.04
275,145.233826,696.2,71.89,2,-0.72,0.1029,0,0,-20,-20,24.7692,30.87
276,145.788239,699.1,72.26,2.6,-0.72,0.1318,0,0,-20,-20,24.7692,30.75
277,146.340744,701.7,72.71,2.4,-0.73,0.1246,0,0,-20,-20,24.7692,30.9
278,146.895142,704.5,73.13,3.4,-0.73,0.1751,0,0,-20,-20,24.7692,31.14
279,147.44751,707.2,73.38,2.3,-0.73,0.1174,0,0,-20,-20,24.7692,31.13
280,148.001892,710,73.81,2.7,-0.74,0.139,0,0,-20,-20,24.7692,31.1
281,148.554459,712.7,74.19,3,-0.74,0.1535,0,0,-20,-20,24.7692,31.37
282,149.108887,715.5,74.56,2.4,-0.75,0.1246,0,0,-20,-20,24.7692,31.33
283,149.661346,718.4,74.96,2.3,-0.75,0.1174,0,0,-20,-20,24.7692,31.13
284,150.215576,721.2,75.42,2.9,-0.75,0.1463,0,0,-20,-20,24.7692,31.32
285,150.768005,723.9,75.67,2.7,-0.76,0.1391,0,0,-20,-20,24.7692,31.51
286,151.322235,726.6,76.1,3.3,-0.76,0.168,0,0,-20,-20,24.7692,31.76
287,151.874619,729.3,76.48,2.9,-0.76,0.1463,0,0,-20,-20,24.7692,31.69
288,152.428833,732.1,76.87,2.1,-0.77,0.1102,0,0,-20,-20,24.7692,31.72
289,152.981262,734.8,77.26,2.4,-0.77,0.1246,0,0,-20,-20,24.7692,31.74
